title,release_date,genres,language,description,poster_path,tagline,runtime,rating,vote_count,movieId
New Nightmare,1994-10-13,Horror|Mystery|Fantasy,en,Cast and crew from A Nightmare on Elm Street are terrorized by Freddy Krueger and his razor-fingered glove as he crosses over into the real world.,https://image.tmdb.org/t/p/w500/eN3UZUYapJ2CJCD9dN0LUZLouKa.jpg,"This time, staying awake won't save you.",112.0,6.455,1475.0,567
Speed,1994-06-09,Action|Thriller,en,"Jack Traven, an LAPD cop on SWAT detail, and veteran SWAT officer Harry Temple thwart an extortionist-bomber's scheme for a $3 million ransom. As they corner the bomber, he flees and detonates a bomb vest, seemingly killing himself. Weeks later, Jack witnesses a mass transit city bus explode and nearby a pay phone rings. On the phone is that same bomber looking for vengeance and the money he's owed. He gives a personal challenge to Jack: a bomb is rigged on another city bus - if it slows down below 50 mph, it will explode - bad enough any day, but a nightmare in LA traffic. And that's just the beginning...",https://image.tmdb.org/t/p/w500/o1Zs7VaS9y2GYH9CLeWxaVLWd3x.jpg,Get ready for rush hour.,116.0,7.144,6423.0,568
Wolf,1994-06-17,Horror|Drama|Romance,en,"Aging publisher Will Randall is at the end of his rope when a younger co-worker snatches his job out from under his nose. But after being bitten by a wolf, Will suddenly finds himself full of youthful vigor. As he struggles to regain his position, he becomes enthralled with Laura Alden, his former boss's daughter. And, as increasingly animal-like urges begin to overwhelm him, Randall worries that he may be turning into the creature that bit him.",https://image.tmdb.org/t/p/w500/5TprU55U2zjAMCwr2jQra3zj1zu.jpg,The animal is out.,125.0,6.118,946.0,569
Wyatt Earp,1994-06-24,Western|Drama|Action|Adventure,en,"From Wichita to Dodge City, to the O.K. Corral in Tombstone, Wyatt Earp is taught that nothing matters more than family and the law. Joined by his brothers and Doc Holliday, Earp wages war on the dreaded Clanton and McLaury gangs.",https://image.tmdb.org/t/p/w500/51LItgyecu2KMAtIchYogEykCIu.jpg,The epic story of love and adventure in a lawless land.,191.0,6.774,877.0,570
Another Stakeout,1993-07-22,Comedy|Crime|Action,en,A pair of immature detectives are joined by a pesky assistant district attorney in staking out a lakeside home where an important Mafia trial witness is believed to be heading.,https://image.tmdb.org/t/p/w500/hBItFUmCrRS1mel0TM69ymBD79k.jpg,"They're on the look out for thrills, action and adventure.",109.0,5.478,231.0,571
Blown Away,1994-07-01,Action,en,"Blown Away tells the story of Jimmy Dove, who works for the Boston bomb squad. Shortly after Dove leaves the force, his partner is killed by a bomb that Dove thinks might have been made by someone he knows.",https://image.tmdb.org/t/p/w500/pLmMaqMgJMOOtua41l7ocvzLS1t.jpg,5. 4. 3. 2. 1......Time's Up.,121.0,6.214,573.0,572
Body Snatchers,1993-06-09,Horror|Science Fiction,en,"When Environmental Protection Agency inspector Steve Malone travels to a remote military base in order to check for toxic materials, he brings his family along for the ride. After arriving at the base, his teenage daughter Marti befriends Jean Platt, daughter of the base's commander, General Platt. When people at the base begin acting strangely, Marti becomes convinced that they are slowly being replaced by plant-like aliens.",https://image.tmdb.org/t/p/w500/s8WdtuOBvfEsuPtbQVpNfEgd5aR.jpg,Imagine... you're gone and someone else is living inside your body.,87.0,6.1,438.0,573
Boxing Helena,1993-03-22,Drama|Romance|Thriller,en,"A top surgeon is besotted with a beautiful woman who once rebuffed him. Unable to come to terms with life without her, he tries to convince her that they need each other. She has other ideas, but a horrific accident leaves her at his mercy.",https://image.tmdb.org/t/p/w500/vgs0h94IllpZRheIjBTonjR7Zf2.jpg,"Beyond love, beyond obsession, there hides something beyond reason.",107.0,5.1,233.0,574
City Slickers II: The Legend of Curly's Gold,1994-06-10,Action|Comedy|Drama|Western,en,"Mitch Robbins' 40th birthday begins quite well until he returns home and finds his brother Glen, the black sheep of the family, in his sofa. Nevertheless he is about to have a wonderful birthday-night with his wife when he discovers a treasure map of Curly by chance. Together with Phil and unfortunately Glen he tries to find the hidden gold of Curly's father in the desert of Arizona.",https://image.tmdb.org/t/p/w500/gh0lsyJARglhpbKmnY8i8M7V5bI.jpg,They're back in the saddle!,116.0,5.298,325.0,575
Cliffhanger,1993-05-28,Action|Adventure|Thriller,en,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",https://image.tmdb.org/t/p/w500/8v2nPPLvhEVlfXu08UZ0djK31be.jpg,Hang on.,112.0,6.5,2466.0,576
Coneheads,1993-07-23,Comedy|Science Fiction,en,"A pair of aliens arrive on Earth to prepare for invasion, but crash instead. With enormous cone-shaped heads, robotlike walks and an appetite for toilet paper, aliens Beldar and Prymatt don't exactly blend in with the population of Paramus, N.J. But for some reason, everyone believes them when they say they're from France.",https://image.tmdb.org/t/p/w500/4eHnstayi28SCHv8ATcISFEv1Rl.jpg,"You may not notice them at first, but they are among us.",87.0,5.436,953.0,577
Demolition Man,1993-10-08,Crime|Action|Science Fiction,en,"In 1996, brash L.A. detective John Spartan and maniac killer Simon Phoenix are both sentenced to decades in a cryogenic prison as punishment for a rescue mission gone wrong. When Phoenix escapes 36 years later to wreak havoc on the future, Spartan is awakened to capture his nemesis the old-fashioned way.",https://image.tmdb.org/t/p/w500/dq6AmlVFo92PRuoLCcIyFdoRuxf.jpg,The future isn't big enough for the both of them.,115.0,6.736,3850.0,578
To Kill For,1992-09-09,Thriller|Mystery,en,A homicide detective (Michael Madsen) falls for a resort owner (Laura Johnson) suspected of slaying a playboy developer.,https://image.tmdb.org/t/p/w500/82HA5CmfmJLaBry4DpT5D4UiFNR.jpg,Following your instincts can be murder.,95.0,5.111,9.0,579
The Englishman Who Went Up a Hill But Came Down a Mountain,1995-05-12,Drama|Comedy|Romance,en,"When an English cartographer arrives in Wales to tell the residents of the Welsh village of Ffynnon Garw  that their 'mountain' is only a hill, the offended community sets out to remedy the situation.",https://image.tmdb.org/t/p/w500/s96XNz6eBsYDK3A9nVyEuHdv7BG.jpg,A romantic comedy about a town that wouldn't give up. A man who couldn't get out. And the mountain that brought them together.,91.0,6.321,307.0,580
Kalifornia,1993-06-24,Thriller|Crime,en,"A journalist duo go on a tour of serial killer murder sites with two companions, unaware that one of them is a serial killer himself.",https://image.tmdb.org/t/p/w500/aXyA3UvVaXBoX2zq9zH7NcK5rKT.jpg,Fear never travels alone.,118.0,6.6,814.0,581
The Piano,1993-05-18,Drama|Romance,en,"When an arranged marriage brings Ada and her spirited daughter to the wilderness of nineteenth-century New Zealand, she finds herself locked in a battle of wills with both her controlling husband and a rugged frontiersman to whom she develops a forbidden attraction.",https://image.tmdb.org/t/p/w500/rx8RKXn8OtuS6lqloYsjyrGOUp4.jpg,,120.0,7.385,1556.0,582
Romeo Is Bleeding,1993-09-13,Crime|Drama|Romance,en,A corrupt cop gets in over his head when he tries to assassinate a beautiful Russian hit-woman.,https://image.tmdb.org/t/p/w500/ojXNRpHMXU99UFmF9MKKiJCymKr.jpg,The story of a cop who wanted it bad and got it worse.,100.0,6.3,195.0,583
The Secret Garden,1993-08-13,Drama|Family|Fantasy,en,"A young British girl born and reared in India loses her neglectful parents in an earthquake. She is returned to England to live at her uncle's castle. Her uncle is very distant due to the loss of his wife ten years before. Neglected once again, she begins exploring the estate and discovers a garden that has been locked and forgotten. Aided by one of the servants' boys, she begins restoring the garden, and eventually discovers some other secrets of the manor.",https://image.tmdb.org/t/p/w500/zf6h5dJ7wVG7LqMO9dhHGHVejzj.jpg,"The timeless tale of a special place where magic, hope and love grow.",102.0,7.423,932.0,584
Son in Law,1993-07-02,Comedy|Drama|Romance,en,"Country girl Rebecca has spent most of her life on a farm in South Dakota, and, when she goes away to college in Los Angeles, Rebecca immediately feels out of place in the daunting urban setting. She is befriended by a savvy party animal named Crawl, who convinces the ambivalent Rebecca to stay in the city. When Thanksgiving break rolls around, Rebecca, no longer an innocent farm girl, invites Crawl back to South Dakota, where he pretends to be her fiancé.",https://image.tmdb.org/t/p/w500/gj4afHL9bMQ18opZzMp77tlPkAq.jpg,He's a relative nightmare.,95.0,6.055,290.0,585
Terminal Velocity,1994-09-23,Action,en,A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.,https://image.tmdb.org/t/p/w500/r6H0J7uu9n6D6p5HoJz7jMD90eI.jpg,It's not the fall that kills you...,102.0,5.337,270.0,586
The Hour of the Pig,1993-09-25,Drama|History|Thriller|Crime|Romance|Mystery,en,"In medieval France, young lawyer Richard Courtois leaves Paris for the simpler life in the country. However, he is soon drawn into amorous and political intrigues. At the same time, he is pushed to defend a pig, owned by the mysterious gypsy Samira. The pig has been arrested for the murder of a young boy.",https://image.tmdb.org/t/p/w500/e6JNPDyNlbVMgLPT7Dbd5WRRHij.jpg,The case is a dog. The defendant is a pig. And the law is an ass.,112.0,6.2,38.0,587
Beauty and the Beast,1991-10-22,Romance|Family|Animation|Fantasy,en,"Follow the adventures of Belle, a bright young woman who finds herself in the castle of a prince who's been turned into a mysterious beast. With the help of the castle's enchanted staff, Belle soon learns the most important lesson of all -- that true beauty comes from within.",https://image.tmdb.org/t/p/w500/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg,The most beautiful love story ever told.,84.0,7.7,10226.0,588
The Wild Bunch,1969-06-19,Western,en,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",https://image.tmdb.org/t/p/w500/8j9yEC3xjy1PJDSizIbaxcHaSph.jpg,Unchanged men in a changing land,145.0,7.605,1252.0,589
Hellraiser: Bloodline,1996-03-08,Horror|Science Fiction,en,Three generations of the same family deal with the consequences of unleashing the forces of hell.,https://image.tmdb.org/t/p/w500/tCQsVackQil2fl5TzOYrCAI6All.jpg,"The past, the present and the future will all meet at the crossroads of hell!",86.0,5.288,562.0,590
Primal Fear,1996-03-06,Crime|Drama|Mystery|Thriller,en,"An arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a third person in the room.",https://image.tmdb.org/t/p/w500/qJf2TzE8nRTFbFMPJNW6c8mI0KU.jpg,"Sooner or later, a man who wears two faces forgets which one is real.",129.0,7.659,3574.0,591
True Crime,1995-08-01,Crime|Mystery|Thriller,en,"Mary Giordano is a bright, intelligent student who goes to a catholic school. She also has an addiction to mystery novels and detective magazines, which inspire her to do her own detective work. When she starts snooping around on the case of a murderer of teenage girls, it gets her in hot water with her mentor Detective Jerry Gunn. But it also starts a team up with police cadet Tony Campbell. The two work together to find the murderer. But the closer Mary gets to solving the murder, the more danger she puts herself in of being the next victim.",https://image.tmdb.org/t/p/w500/nPYe83tWVSwVFRyWa6f5aaE7bbu.jpg,Trust no one.,94.0,5.7,79.0,592
Stalingrad,1993-01-20,Drama|History|War,de,"A German Platoon is explored through the brutal fighting of the Battle of Stalingrad. After half of their number is wiped out and they're placed under the command of a sadistic captain, the platoon lieutenant leads his men to desert. The platoon members attempt escape from the city, now surrounded by the Soviet Army.",https://image.tmdb.org/t/p/w500/rB78VDAOK94KJWp9ofgE3GSQEor.jpg,Till the last man...,134.0,7.3,581.0,593
Heavy,1995-12-29,Drama|Romance,en,"Victor is a cook who works in a greasy roadside restaurant owned by his mother, Dolly. It's just the two of them, a waitress named Delores, and a heavy drinking regular, Leo. But things change when Callie, a beautiful college dropout, shows up as a new waitress and steals Victor's heart. But Victor is too shy to do anything about it, and too self-consciously overweight to dream of winning Callie away.",https://image.tmdb.org/t/p/w500/xo2KsY7hOHDqpgYlDStL56zmgaq.jpg,"He's a man so shy, he doesn't even think he deserves love…",105.0,6.7,80.0,594
The Fan,1996-08-15,Thriller|Action|Drama,en,"When the San Francisco Giants pay center-fielder, Bobby Rayburn $40 million to lead their team to the World Series, no one is happier or more supportive than #1 fan, Gil Renard.  When Rayburn becomes mired in the worst slump of his career, the obsessed Renard decides to stop at nothing to help his idol regain his former glory—not even murder.",https://image.tmdb.org/t/p/w500/lu7CjP8YES5dJMCFg5O9o9jCkjl.jpg,All fans have a favorite player.  This one has a favorite target.,116.0,5.992,811.0,595
The Hunchback of Notre Dame,1996-06-21,Drama|Animation|Family,en,"Isolated bell-ringer Quasimodo wishes to leave Notre Dame tower against the wishes of Judge Claude Frollo, his stern guardian and Paris' strait-laced Minister of Justice. His first venture to the outside world finds him Esmeralda, a kind-hearted and fearless Romani woman who openly stands up to Frollo's tyranny.",https://image.tmdb.org/t/p/w500/7k0fr2xLCTChjN8MnGNThTP9uEB.jpg,"He dared to dream, he dared to love.",91.0,7.117,5144.0,596
Eraser,1996-06-21,Action|Mystery|Thriller,en,A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,https://image.tmdb.org/t/p/w500/uu2gBpFElDfxTI6BI9bT4pZ4kvw.jpg,He will erase your past to protect your future.,115.0,6.1,1890.0,597
The Big Squeeze,1996-09-06,Drama,en,"Benny, a hapless grifter, is thrown off a train after cheating at cards, and into the life of Tanya, a lovely bartender. Tanya has been supporting her husband, a former ballplayer, since his accident, waiting for an insurance settlement that will solve all their financial woes. But when it comes, he refuses to share it with her, claiming with newfound piety that money is the root of all evil. She then enlists the help of Benny to concoct a scheme to get her fair share of the settlement, and he finds one: a local Catholic mission needs money for repairs and Benny decides to create a miracle that will encourage husband Henry to fork over the money - which Benny and Tanya will intercept and share.",https://image.tmdb.org/t/p/w500/e29bxyk9pOKcswJ98LbeLkkEFvc.jpg,,98.0,3.5,2.0,598
Supercop 2,1993-10-21,Action|Crime|Thriller|Comedy,cn,"As a crime wave sweeps through Hong Kong, the police call Jessica Yang, a rising star in the ranks, to help stop a notorious gang of thieves! What Jessica doesn't realize is that her boyfriend – recently discharged from the force – is the leader of this ruthless crime ring!",https://image.tmdb.org/t/p/w500/wYGXe2BRIyNX2z7Y6UdQoiw8yfk.jpg,Only One Force Can Stop This Crime Wave....And She's One Tough Cop!,101.0,5.724,96.0,599
Daniel Defoe's Robinson Crusoe,,,,,,,,,,600
For Whom the Bell Tolls,1943-07-12,War|Romance|History|Drama|Adventure,en,Spain in the 1930s is the place to be for a man of action like Robert Jordan. There is a civil war going on and Jordan—who has joined up on the side that appeals most to idealists of that era—has been given a high-risk assignment up in the mountains. He awaits the right time to blow up a crucial bridge in order to halt the enemy's progress.,https://image.tmdb.org/t/p/w500/4GuMovYLNkugU945CNsfwzmYfts.jpg,Thunderous! Tender! Touching!,170.0,6.547,193.0,601
An American in Paris,1951-09-26,Music|Romance|Comedy,en,"Jerry Mulligan is an exuberant American expatriate in Paris trying to make a reputation as a painter. His friend Adam is a struggling concert pianist who's a long time associate of a famous French singer, Henri Baurel. A lonely society woman, Milo Roberts, takes Jerry under her wing and supports him, but is interested in more than his art.",https://image.tmdb.org/t/p/w500/lyDXkvG53ldz6Cf7dbjJl7TaoP5.jpg,What a joy! It's M-G-M's Technicolor musical!,113.0,7.013,599.0,602
Rear Window,1954-08-01,Thriller|Mystery,en,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,https://image.tmdb.org/t/p/w500/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,It only takes one witness to spoil the perfect crime.,112.0,8.352,6763.0,603
It Happened One Night,1934-02-22,Comedy|Romance,en,A runaway heiress makes a deal with the rogue reporter trailing her but the mismatched pair end up stuck with each other when their bus leaves them behind.,https://image.tmdb.org/t/p/w500/2PNUGWAflH6UUumas0POMmokHlc.jpg,An unforgettable entertainment...the outstanding performance of two outstanding careers!,105.0,7.832,1312.0,604
Meet Me in St. Louis,1944-11-28,Comedy|Drama|Romance|Family,en,Young love and childish fears highlight a year in the life of a turn-of-the-century family up to the 1904 St. Louis World's Fair.,https://image.tmdb.org/t/p/w500/ekVeUvG81pidsv2LMtWf5yYcNbq.jpg,Glorious love story with music!,114.0,6.982,395.0,605
All About Eve,1950-11-09,Drama,en,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",https://image.tmdb.org/t/p/w500/blBzZaatPWVuWpXEnPscMA4Xp6m.jpg,It's all about women... and their men!,139.0,8.081,1593.0,606
Rebecca,1940-03-23,Mystery|Romance|Thriller,en,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",https://image.tmdb.org/t/p/w500/1qz3qUOHnVy7dL7M7G8jSErxE4b.jpg,The shadow of this woman darkened their love!,130.0,7.897,1845.0,607
Spellbound,1945-11-08,Thriller|Mystery|Romance,en,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.",https://image.tmdb.org/t/p/w500/dPAox7jGScLBvxKLeRptJIBF7v.jpg,This is love! Complete...reckless...violent!,111.0,7.4,917.0,608
Father of the Bride,1950-05-18,Comedy|Romance|Drama,en,"Proud father Stanley Banks remembers the day his daughter, Kay, got married. Starting when she announces her engagement through to the wedding itself, we learn of all the surprises and disasters along the way.",https://image.tmdb.org/t/p/w500/sygyqqXq41SBZiYjY8nuQRAcuUv.jpg,You're invited... to a hilarious wedding!,92.0,6.981,211.0,609
Gigi,1958-05-15,Comedy|Romance,en,"A home, a motorcar, servants, the latest fashions: the most eligible and most finicky bachelor in Paris offers them all to Gigi. But she, who's gone from girlish gawkishness to cultured glamour before our eyes, yearns for that wonderful something money can't buy.",https://image.tmdb.org/t/p/w500/v4jPy20pdYIFiqtsNvrek7l6ALl.jpg,Thank heaven for Gigi,116.0,6.2,326.0,610
Laura,1944-10-11,Drama|Mystery,en,A police detective falls in love with the woman whose murder he's investigating.,https://image.tmdb.org/t/p/w500/j0zEiFFrdbZnMXqD3piOtZBJeNB.jpg,The story of a love that became the most fearful thing that ever happened to a woman!,88.0,7.633,842.0,611
Lost Horizon,1937-03-03,Adventure|Fantasy|Drama|Romance,en,"British diplomat Robert Conway and a small group of civilians crash-land in the Himalayas, where they are rescued by the inhabitants of the hidden, idyllic valley of Shangri-La. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-La provides a seductive escape for the world-weary Conway.",https://image.tmdb.org/t/p/w500/jCY8uJ80xlO2ApfrsB8s2gzyiBX.jpg,At last! The masterpiece of America's foremost film genius blazes to the screen!,132.0,7.0,230.0,612
My Man Godfrey,1936-09-02,Comedy,en,"Fifth Avenue socialite Irene Bullock needs a ""forgotten man"" to win a scavenger hunt, and no one is more forgotten than Godfrey Park, who resides in a dump by the East River. Irene hires Godfrey as a servant for her riotously unhinged family, to the chagrin of her spoiled sister, Cornelia, who tries her best to get Godfrey fired. As Irene falls for her new butler, Godfrey turns the tables and teaches the frivolous Bullocks a lesson or two.",https://image.tmdb.org/t/p/w500/wtfOW7fIxBZWY78rvUoPpWhMSiR.jpg,Butler! FOR THE COCK-EYEDEST FAMILY in the WHOLE WORLD!...and the butler-blonde battle was on!,95.0,7.5,365.0,613
Giant,1956-11-08,Drama|Western,en,"Wealthy rancher Bick Benedict and dirt-poor cowboy Jett Rink both woo Leslie Lynnton, a beautiful young woman from Maryland who is new to Texas. She marries Benedict, but she is shocked by the racial bigotry of the White Texans against the local people of Mexican descent. Rink discovers oil on a small plot of land, and while he uses his vast, new wealth to buy all the land surrounding the Benedict ranch, the Benedict's disagreement over prejudice fuels conflict that runs across generations.",https://image.tmdb.org/t/p/w500/oQ1Arue52pFLSvvwfcNTy16hTCG.jpg,Sometimes any man can be a giant . . .,201.0,7.608,715.0,614
The 39 Steps,1935-06-06,Mystery|Thriller,en,"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed - with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as The 39 Steps.",https://image.tmdb.org/t/p/w500/yRnl3nTtKVTIBcLHHyXrrXPZWVS.jpg,Handcuffed to the girl who double-crossed him,86.0,7.347,987.0,615
Night of the Living Dead,1968-10-04,Horror,en,"A group of strangers trapped in a farmhouse find themselves fending off a horde of recently dead, flesh-eating ghouls.",https://image.tmdb.org/t/p/w500/inNUOa9WZGdyRXQlt7eqmHtCttl.jpg,"If it doesn't scare you, you're already dead!",96.0,7.617,2553.0,616
The Blue Angel,1930-04-01,Drama,de,"Prim professor Immanuel Rath finds some of his students ogling racy photos of cabaret performer Lola Lola and visits a local club, The Blue Angel, in an attempt to catch them there. Seeing Lola perform, the teacher is filled with lust, eventually resigning his position at the school to marry the young woman. However, his marriage to a coquette -- whose job is to entice men -- proves to be more difficult than Rath imagined.",https://image.tmdb.org/t/p/w500/khz2rKLAPDVu9auJt1sR1HO9SCG.jpg,"You Too, Will Be Aroused By Her Intoxicating Beauty! ""This Woman Makes a Man of Dignity a Slave to Love!""",108.0,7.312,329.0,617
Picnic,1955-11-18,Drama|Romance,en,"Labor Day in a small Kansas farm town. Hal, a burly and resolute drifter, jumps off a dusty freight train car with the purpose of visiting Alan, a former college classmate and son of the richest man in town.",https://image.tmdb.org/t/p/w500/aKCSA9JUp9JkztAjzODPTrtZmzC.jpg,Unsurpassed! Unforgettable!,114.0,6.324,102.0,618
Extreme Measures,1996-09-27,Drama|Thriller,en,"Guy Luthan, a British doctor working at a hospital in New York, starts making unwelcome enquiries when the body of a man who died in his emergency room disappears. After the trail leads Luthan to the door of an eminent surgeon at the hospital, Luthan soon finds himself in extreme danger people who want the hospital's secret to remain undiscovered.",https://image.tmdb.org/t/p/w500/uowP2Nw2mLpQni1vtbUb1LUSiP0.jpg,Not all surgery is intended to cure.,118.0,6.0,329.0,619
The Chamber,1996-10-11,Crime|Drama,en,"Idealistic young attorney Adam Hall takes on the death row clemency case of his racist grandfather, Sam Cayhall, a former Ku Klux Klan member he has never met.",https://image.tmdb.org/t/p/w500/dHwB9Fn2uBEkxkMZZxWpxMGrhL3.jpg,Time is running out.,113.0,5.977,258.0,620
"Davy Crockett, King of the Wild Frontier",1955-05-25,Adventure|Family|Western,en,"Legends (and myths) from the life of famed American frontiersman Davy Crockett are depicted in this feature film edited from television episodes. Crockett and his friend George Russel fight in the Creek Indian War. Then Crockett is elected to Congress and brings his rough-hewn ways to the House of Representatives. Finally, Crockett and Russell journey to Texas and the last stand at the Alamo.",https://image.tmdb.org/t/p/w500/7IFRrsQdaaUJaemg2z35fshzswd.jpg,NOW...on the MOTION PICTURE SCREEN!,93.0,6.4,112.0,621
Swiss Family Robinson,1960-12-21,Adventure|Family,en,"After being shipwrecked, the Robinson family is marooned on an island inhabited only by an impressive array of wildlife. In true pioneer spirit, they quickly make themselves at home but soon face a danger even greater than nature: dastardly pirates.",https://image.tmdb.org/t/p/w500/3ZItm1RcdwNuPnCaaqEFGrbVlcO.jpg,THE ADVENTURE OF ADVENTURES!,126.0,6.869,329.0,622
Angels in the Outfield,1994-07-15,Comedy|Family|Fantasy,en,"Roger is a foster child whose irresponsible father promises to get his act together when Roger's favourite baseball team, the California Angels, wins the pennant. The problem is that the Angels are in last place, so Roger prays for help to turn the team around. Sure enough, his prayers are answered in the form of angel Al.",https://image.tmdb.org/t/p/w500/7WRt6l7tiXVPG9zLco1rwy5Ffw9.jpg,Ya Gotta Believe!,102.0,5.953,447.0,623
The Three Caballeros,1944-12-21,Animation|Family|Music,en,"For Donald's birthday he receives a box with three gifts inside. The gifts, a movie projector, a pop-up book, and a pinata, each take Donald on wild adventures through Mexico and South America.",https://image.tmdb.org/t/p/w500/nMfScRxw9wVLoO7LiEjziFAKLSK.jpg,,71.0,6.288,730.0,624
The Sword in the Stone,1963-12-25,Animation|Family|Fantasy,en,"Wart is a young boy who aspires to be a knight's squire. On a hunting trip he falls in on Merlin, a powerful but amnesiac wizard who has plans for him beyond mere squiredom. He starts by trying to give him an education, believing that once one has an education, one can go anywhere. Needless to say, it doesn't quite work out that way.",https://image.tmdb.org/t/p/w500/7lyeeuhGAJSNXYEW34S8mJ1bwI8.jpg,Tired of living in a Medieval mess... Merlin uses all his magic powers to change a scrawny little boy into a legendary hero!,79.0,7.2,3929.0,625
So Dear to My Heart,1948-11-29,Drama|Family|Animation,en,"The tale of Jeremiah Kincaid and his quest to raise his 'champion' lamb, Danny. Jeremiah's dream of showing Danny at the Pike County Fair must overcome the obstinate objections of his loving, yet strict, grandmother Granny. Jeremiah's confidant, Uncle Hiram, is the boy's steady ally.",https://image.tmdb.org/t/p/w500/sWoOc4tkxlTf0i8YYia25sPRinY.jpg,"A ""dilly-dilly"" delight!",82.0,6.489,45.0,626
Robin Hood: Prince of Thieves,1991-06-14,Action|Adventure|Drama,en,"Nobleman crusader Robin of Locksley breaks out of a Jerusalem prison with the help of Moorish fellow prisoner Azeem and travels back home to England. But upon arrival he discovers his dead father in the ruins of his family estate, killed by the vicious sheriff of Nottingham, Robin and Azeem join forces with outlaws Little John and Will Scarlett to save the kingdom from the sheriff's villainy.",https://image.tmdb.org/t/p/w500/hbRnWUNJkKKVN5mkcuC5ooqjE4e.jpg,"For the good of all men, and the love of one woman, he fought to uphold justice by breaking the law.",143.0,6.9,3379.0,627
Sleepers,1996-10-18,Crime|Drama|Thriller,en,Two gangsters seek revenge on the state jail worker who during their stay at a youth prison sexually abused them. A sensational court hearing takes place to charge him for the crimes.,https://image.tmdb.org/t/p/w500/yUpiEk2EojS9ZEXb3nIQonQCYYF.jpg,Four friends have made a mistake that will change their lives forever.,147.0,7.603,3648.0,628
Victor/Victoria,1982-04-25,Music|Comedy|Romance,en,"A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life.",https://image.tmdb.org/t/p/w500/mCjXcPRM3Rc7gOCGeVrBdPvF2bk.jpg,The disguise surprise comedy of the year!,134.0,7.285,425.0,629
The Great Race,1965-07-01,Comedy|Adventure|Action|Family|Romance,en,"Professional daredevil and white-suited hero, The Great Leslie, convinces turn-of-the-century auto makers that a race from New York to Paris (westward across America, the Bering Straight and Russia) will help to promote automobile sales. Leslie's arch-rival, the mustached and black-attired Professor Fate vows to beat Leslie to the finish line in a car of Fate's own invention.",https://image.tmdb.org/t/p/w500/9rL8GWuFdO3fLXcNV9rZRHskoOn.jpg,"The movie with 20,000-miles or one-million-laughs guarantee!",160.0,7.085,343.0,630
The Crying Game,1992-09-02,Crime|Drama|Thriller,en,"Irish Republican Army member Fergus forms an unexpected bond with Jody, a kidnapped British soldier in his custody, despite the warnings of fellow IRA members Jude and Maguire. Jody makes Fergus promise he'll visit his girlfriend, Dil, in London, and when Fergus flees to the city, he seeks her out. Hounded by his former IRA colleagues, he finds himself increasingly drawn to the enigmatic, and surprising, Dil.",https://image.tmdb.org/t/p/w500/ea6HPVTlGa0MmtTrPud0UnP9wh.jpg,Play At Your Own Risk.,112.0,6.846,790.0,631
Sophie's Choice,1982-12-08,Drama|Romance|War,en,"Stingo, a young writer, moves to Brooklyn in 1947 to begin work on his first novel. As he becomes friendly with Sophie and her lover Nathan, he learns that she is a Holocaust survivor. Flashbacks reveal her harrowing story, from pre-war prosperity to Auschwitz. In the present, Sophie and Nathan's relationship increasingly unravels as Stingo grows closer to Sophie and Nathan's fragile mental state becomes ever more apparent.",https://image.tmdb.org/t/p/w500/rZDPbPTFwuKgr5b9jixGFNYkGYt.jpg,"Between the innocent, the romantic, the sensual, and the unthinkable. There are still some things we have yet to imagine.",151.0,7.3,882.0,632
